district_name
Bhojpur
Dhankuta
Ilam
Jhapa
Khotang
Morang
Okhaldhunga
Panchthar
Sankhuwasabha
Solukhumbu
Sunsari
Taplejung
Terhathum
Udayapur
Bara
Dhanusha
Mahottari
Parsa
Rautahat
Saptari
Sarlahi
Siraha
Bhaktapur
Chitwan
Dhading
Dolakha
Kathmandu
Kavrepalanchok
Lalitpur
Makwanpur
Nuwakot
Ramechhap
Rasuwa
Sindhuli
Sindhupalchok
Baglung
Gorkha
Kaski
Lamjung
Manang
Mustang
Myagdi
Nawalparasi
Parbat
Syangja
Tanahun
Arghakhanchi
Banke
Bardiya
Dang
Eastern Rukum
Gulmi
Kapilvastu
Parasi
Palpa
Pyuthan
Rolpa
Rupandehi
Dailekh
Dolpa
Humla
Jajarkot
Jumla
Kalikot
Mugu
Salyan
Surkhet
Western Rukum
Achham
Baitadi
Bajhang
Bajura
Dadeldhura
Darchula
Doti
Kailali
Kanchanpur
